subforum1	subforum2	n	type	pairs	positive	change	iqr
home	sport	3000	i	29	0.828	0.033	0.042
home	sport	3000	n	145	0.524	-0.012	0.081
home	sport	6000	i	11	0.545	-0.007	0.024
home	sport	6000	n	55	0.436	-0.012	0.100
computer	drugs	3000	i	15	0.600	0.004	0.079
computer	drugs	3000	n	75	0.680	0.048	0.096
computer	drugs	6000	i	6	0.667	0.023	0.050
computer	drugs	6000	n	30	0.667	0.073	0.128
sport	drugs	3000	i	67	0.612	0.015	0.110
sport	drugs	3000	n	335	0.546	0.002	0.094
sport	drugs	6000	i	23	0.652	0.008	0.056
sport	drugs	6000	n	115	0.417	-0.016	0.077
home	computer	3000	i	46	0.630	0.060	0.121
home	computer	3000	n	230	0.617	0.029	0.089
home	computer	6000	i	24	0.625	0.012	0.109
home	computer	6000	n	120	0.542	0.023	0.080
home	drugs	3000	i	22	0.682	0.101	0.201
home	drugs	3000	n	110	0.664	0.028	0.081
home	drugs	6000	i	9	0.778	0.085	0.129
home	drugs	6000	n	45	0.533	0.012	0.081
sport	computer	3000	i	89	0.607	0.031	0.153
sport	computer	3000	n	445	0.600	0.027	0.105
sport	computer	6000	i	43	0.581	0.032	0.147
sport	computer	6000	n	215	0.609	0.042	0.105
